Master Key,UPC,EPC Value:,Style,Color,Size,Make,Found EPCs,Missing EPCs,Product Description
9000000000368    ,50875515406    ,303804F7C21A9D0000000009,Button Down,Tan,Medium,Pussers Island,,,
9000000000369    ,50875515406    ,303804F7C21A9D0000000002,Button Down,Tan,Medium,Pussers Island,,,
9000000000370    ,50875515406    ,303804F7C21A9D000000000F,Button Down,Green,Medium,Roundtree,,,
9000000000371    ,50875515406    ,303804F7C21A9D000000000A,Button Down,Green,Medium,Roundtree,,,
9000000000372    ,50875515406    ,303804F7C21A9D0000000005,Polo,Blue,Large,Aigle,,,
9000000000373    ,50875515406    ,303804F7C21A9D000000000B,Polo,Blue,Large,Aigle,,,
9000000000379    ,411008053170    ,303419160005316D07A559DC,Button Down,Blue,Large,Aigle,,,
9000000000380    ,411008053170    ,303419160005316D07A559CC,Button Down,Blue,Large,Aigle,,,
9000000000381    ,411008053170    ,303419160005316D07A559EC,Button Down,Blue,Medium,Aigle,,,
9000000000382    ,82102143511    ,303429A1D80E03C00000000B,Button Down,Tan,Large,George,,,
9000000000383    ,82102143511    ,303429A1D80E03C00000000A,Button Down,Tan,Large,George,,,
9000000000384    ,82102143511    ,303429A1D80E03C000000008,Button Down,Tan,Large,George,,,
9000000000385    ,60609145044    ,302046D655CD200000000015,Polo,White,Medium,Wrangler,,,
9000000000386    ,60609145044    ,302046D655CD200000000007,Polo,White,Medium,Wrangler,,,
9000000000387    ,60609145044    ,302046D655CD200000000008,Polo,White,Medium,Wrangler,,,
9000000000388    ,60609145044    ,302046D655CD200000000009,Polo,White,Medium,Wrangler,,,
9000000000389    ,3443699    ,303400000C2B546A30D9B38A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000390    ,3443699    ,303400000C2B546A30D9B37A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000391    ,3443699    ,303400000C2B546A30D9B36A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000392    ,3443699    ,303400000C2B546A30D9B35A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000393    ,3443699    ,303400000C2B546A30D9B34A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000394    ,3443699    ,303400000C2B546A30D9B33A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000395    ,3443699    ,303400000C2B546A30D9B32A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000396    ,3443699    ,30340521D055726A30D9B31A,TShirt,Grey,Medium,LuLu Lemon,,,
9000000000397    ,14141008179    ,3034257BF400CC400000021C,TShirt,Orange,Large,American Apparel,,,
9000000000398    ,14141008179    ,3034257BF400CC4000000219,TShirt,Orange,Large,American Apparel,,,
9000000000399    ,14141008179    ,3034257BF400CC4000000221,TShirt,Orange,Large,American Apparel,,,
9000000000400    ,14141008179    ,3034257BF400CC400000021B,TShirt,Orange,Large,American Apparel,,,
9000000000401    ,14141008179    ,3034257BF400CC00000001B3,TShirt,Orange,Medium,American Apparel,,,
9000000000411    ,82102143511    ,303402D69004984000000017,Button Down,Tan,Large,George,,,
9000000000412    ,82102143511    ,303402D69004984000000015,Button Down,Tan,Large,George,,,
9000000000413    ,82102143511    ,303402D69004984000000014,Button Down,Tan,Large,George,,,
9000000000414    ,82102143511    ,303402D69004984000000013,Button Down,Tan,Large,George,,,
9000000000415    ,82102143511    ,303402D69004984000000012,Button Down,Tan,Large,George,,,
9000000000416    ,82102143511    ,303402D69004984000000011,Button Down,Tan,Large,George,,,
9000000000417    ,82102143511    ,303402D69004984000000010,Button Down,Tan,Large,George,,,
9000000000418    ,82102143511    ,303402D69004984000000009,Button Down,Tan,Large,George,,,
9000000000419    ,82102143511    ,303402D69004984000000008,Button Down,Tan,Large,George,,,
9000000000420    ,82102143511    ,303402D69004984000000007,Button Down,Tan,Large,George,,,
9000000000421    ,82102143511    ,303402D69004984000000006,Button Down,Tan,Large,George,,,
9000000000422    ,82102143511    ,303402D69004984000000005,Button Down,Tan,Large,George,,,
9000000000423    ,82102143511    ,303402D69004984000000004,Button Down,Tan,Large,George,,,
9000000000424    ,82102143511    ,303402D69004984000000003,Button Down,Tan,Large,George,,,
9000000000425    ,82102143511    ,303402D69004984000000002,Button Down,Tan,Large,George,,,
9000000000426    ,82102143511    ,303402D69004984000000001,Button Down,Tan,Large,George,,,
9000000000441    ,14141008193    ,3034257BF400CCC00000025A,TShirt,Purple,Small,American Apparel,,,
9000000000442    ,14141008193    ,3034257BF400CCC00000026B,TShirt,Purple,Small,American Apparel,,,
9000000000443    ,14141008193    ,3034257BF400CCC000000258,TShirt,Purple,Small,American Apparel,,,
9000000000444    ,14141008193    ,3034257BF400CCC00000025B,TShirt,Purple,Small,American Apparel,,,
9000000000445    ,14141008193    ,3034257BF400CCC000000259,TShirt,Purple,Small,American Apparel,,,
9000000000446    ,14141008193    ,3034257BF400CD4000000299,TShirt,Purple,Medium,American Apparel,,,
9000000000447    ,14141008193    ,3034257BF400CD40000002DF,TShirt,Purple,Medium,American Apparel,,,
9000000000448    ,14141008193    ,3034257BF400CD40000002CD,TShirt,Purple,Medium,American Apparel,,,
9000000000449    ,14141008193    ,3034257BF400CD40000002D6,TShirt,Purple,Medium,American Apparel,,,
9000000000450    ,14141008193    ,3034257BF400CD8000000329,TShirt,Purple,Medium,American Apparel,,,
9000000000451    ,14141008193    ,3034257BF400CD40000002CF,TShirt,Purple,Large,American Apparel,,,
9000000000452    ,14141008193    ,3034257BF400CD8000000330,TShirt,Purple,Large,American Apparel,,,
9000000000453    ,14141008193    ,3034257BF400CD8000000328,TShirt,Purple,Large,American Apparel,,,
9000000000454    ,14141008193    ,3034257BF400CD8000000326,TShirt,Purple,Large,American Apparel,,,
9000000000455    ,14141008193    ,3BE1000BE411C6B100000003,TShirt,Orange,Large,American Apparel,,,
9000000000458    ,555092451    ,30340008AC09076D07A583DC,Polo,Tan,Medium,Daniel Cremieux,,,
9000000000459    ,555092451    ,30340008AC09076D07A583FC,Polo,Tan,Large,Daniel Cremieux,,,
9000000000460    ,555092451    ,30340008AC09076D07A5836C,Polo,Tan,Large,Daniel Cremieux,,,
9000000000461    ,555092451    ,30340008AC09076D07A5834C,Polo,Tan,XLarge,Daniel Cremieux,,,
9000000000462    ,555092451    ,30340008AC09076D07A5832C,Polo,Tan,XLarge,Daniel Cremieux,,,
9000000000463    ,555092451    ,30340008AC09076D07A5831C,Polo,Tan,XLarge,Daniel Cremieux,,,
9000000000464    ,555092451    ,30340008AC09076D07A559FC,Polo,Tan,XLarge,Daniel Cremieux,,,
9000000000776    ,46500047053    ,303402D69004986D07A5D13D,Polo,Blue,XLarge,Roundtree & Yorke,,,
9000000000470    ,638241932059    ,303426F4845B056D07A5FB3C,Polo,Blue,Medium,Roundtree & Yorke,,,
9000000000471    ,638241932059    ,303426F4845B056D07A5D1DC,Polo,Blue,Medium,Roundtree & Yorke,,,
9000000000472    ,638241932059    ,303426F4845B056D07A5FB4C,Polo,Blue,Medium,Roundtree & Yorke,,,
9000000000473    ,638241932059    ,303426F4845B056D07A5FB5C,Polo,White,Medium,Roundtree & Yorke,,,
9000000000474    ,638241932059    ,303426F4845B056D07A5FB6C,Polo,White,Large,Roundtree & Yorke,,,
9000000000475    ,638241932059    ,303426F4845B056D07A5FB8C,Polo,White,Medium,Roundtree & Yorke,,,
9000000000476    ,638241932059    ,303426F4845B056D07A5FB9C,Polo,White,Medium,Roundtree & Yorke,,,
9000000000477    ,638241932059    ,303426F4845B056D07A5FBBC,Polo,White,Large,Roundtree & Yorke,,,
9000000000478    ,638241932059    ,303426F4845B056D07A5FBCC,Polo,White,Medium,Roundtree & Yorke,,,
9000000000479    ,811317000474    ,30343184D4000BED07A5D1AC,Sweater,Tan,Large,Turnburry,,,
9000000000591    ,682102143511    ,303402D69004984000000016,Button Down,Tan,Large,George,,,
9000000000592    ,682102143511    ,303402D69004984000000019,Button Down,Tan,Large,George,,,
9000000000593    ,682102143511    ,303402D69004984000000020,Button Down,Tan,Large,George,,,
9000000000594    ,682102143511    ,303402D69004984000000018,Button Down,Tan,Large,George,,,
9000000000595    ,811317000474    ,30343184D4000BED07A5A5CC,W  DressTop,Pink,Large,Assorted,,,
9000000000596    ,811317000474    ,30343184D4000BED07A5A5EC,W  DressTop,Brown,Large,Assorted,,,
9000000000597    ,811317000474    ,30343184D4000BED07A5D12C,W  DressTop,Blue Pattern,Large,Assorted,,,
9000000000598    ,811317000474    ,30343184D4000BED07A5D14C,W  DressTop,White,Large,Assorted,,,
9000000000599    ,811317000474    ,30343184D4000BED07A5D17C,W  DressTop,Blue,Large,Assorted,,,
9000000000600    ,811317000474    ,30343184D4000BED07A6152C,W  DressTop,Turquoise,Large,Assorted,,,
9000000000601    ,811317000474    ,30343184D4000BED07A5D1CC,W  DressTop,Purple,Large,Assorted,,,
9000000000652    ,811317392838    ,30343184D4265CED07A5593C,W Knittop,yellow ,Small,westbound,,,
9000000000653    ,811317392838    ,30343184D4265CED07A5592C,W Knittop,yellow ,Large,westbound,,,
9000000000654    ,811317392838    ,30343184D4265CED07A5591C,W Knittop,Tan,Large,westbound,,,
9000000000655    ,811317392838    ,30343184D4265CED07A5590C,W Knittop,pink,Large,westbound,,,
9000000000656    ,811317392838    ,30343184D4265CED07A52DEC,W Knittop,pink,Large,westbound,,,
9000000000657    ,811317392838    ,30343184D4265CED07A5594C,W Knittop,pink,Large,westbound,,,
9000000000658    ,3443698    ,303400000C2B546D07A594B1,M Athletic,Grey,Large,Lululemon,,,
9000000000659    ,3443698    ,303400000C2B546D07A594C1,M Athletic,Grey,Large,Lululemon,,,
9000000000660    ,316040171496    ,3034134A2010BF6D07A5599C,W DressTop,brown/pink,Large,Cato,,,
9000000000661    ,316040171496    ,3034134A2010BF6D07A5597C,W DressTop,brown/pink,Large,Cato,,,
9000000000662    ,316040171496    ,3034134A2010BF6D07A5598C,W DressTop,brown/pink,Large,Cato,,,
9000000000663    ,811317001228    ,30343184D4001EAD07A559AC,W DressTop,yellow ,XL,Emma James,,,
