Master Key,UPC,EPC Value:,Style,Color,Size,Make,Found EPCs,Missing EPCs,Product Description
9E+12,50875515406,303804F7C21A9D0000000009,Button Down,Tan,Medium,Pussers Island,3034031DFC532DC00000002E,303804F7C21A9D0000000009,
9E+12,50875515406,303804F7C21A9D0000000002,Button Down,Tan,Medium,Pussers Island,303435FB10606D6D288FC54E,303804F7C21A9D0000000002,
9E+12,50875515406,303804F7C21A9D000000000F,Button Down,Green,Medium,Roundtree,30340521D055726821471EC3,303804F7C21A9D000000000F,
9E+12,50875515406,303804F7C21A9D000000000A,Button Down,Green,Medium,Roundtree,AD237000000AD237000002FA,303804F7C21A9D000000000A,
9E+12,50875515406,303804F7C21A9D0000000005,Polo,Blue,Large,Aigle,30340521D0556F68DCC073FA,303804F7C21A9D0000000005,
9E+12,50875515406,303804F7C21A9D000000000B,Polo,Blue,Large,Aigle,30342E168C30F528DCC5E329,303804F7C21A9D000000000B,
9E+12,4.11008E+11,303419160005316D07A559DC,Button Down,Blue,Large,Aigle,302021FF0A8E3400000000F0,303419160005316D07A559DC,
9E+12,4.11008E+11,303419160005316D07A559CC,Button Down,Blue,Large,Aigle,AD237000000AD237000002F5,303419160005316D07A559CC,
9E+12,4.11008E+11,303419160005316D07A559EC,Button Down,Blue,Medium,Aigle,30340521D05572682144AE93,303419160005316D07A559EC,
9E+12,82102143511,303429A1D80E03C00000000B,Button Down,Tan,Large,George,30340521D055726821441E43,303429A1D80E03C00000000B,
9E+12,82102143511,303429A1D80E03C00000000A,Button Down,Tan,Large,George,302021FF0A8E8800000000F0,303429A1D80E03C00000000A,
9E+12,82102143511,303429A1D80E03C000000008,Button Down,Tan,Large,George,3034031DFC532DC00000004A,303429A1D80E03C000000008,
9E+12,60609145044,302046D655CD200000000015,Polo,White,Medium,Wrangler,30340521D0556F68DCCBD32B,302046D655CD200000000015,
9E+12,60609145044,302046D655CD200000000007,Polo,White,Medium,Wrangler,302044A48A189C00000000F0,302046D655CD200000000007,
9E+12,60609145044,302046D655CD200000000008,Polo,White,Medium,Wrangler,30342E168C30F528DCC5E339,302046D655CD200000000008,
9E+12,60609145044,302046D655CD200000000009,Polo,White,Medium,Wrangler,3034031DFC532DC000000015,302046D655CD200000000009,
9E+12,3443699,303400000C2B546A30D9B38A,TShirt,Grey,Medium,LuLu Lemon,30340521D055726821441E93,303400000C2B546A30D9B38A,
9E+12,3443699,303400000C2B546A30D9B37A,TShirt,Grey,Medium,LuLu Lemon,AD237000000AD23700000301,303400000C2B546A30D9B37A,
9E+12,3443699,303400000C2B546A30D9B36A,TShirt,Grey,Medium,LuLu Lemon,30340521D0556F68DCCA439A,303400000C2B546A30D9B36A,
9E+12,3443699,303400000C2B546A30D9B35A,TShirt,Grey,Medium,LuLu Lemon,30340521D0556F68DCC4A38B,303400000C2B546A30D9B35A,
9E+12,3443699,303400000C2B546A30D9B34A,TShirt,Grey,Medium,LuLu Lemon,3034031DFC532DC000000041,303400000C2B546A30D9B34A,
9E+12,3443699,303400000C2B546A30D9B33A,TShirt,Grey,Medium,LuLu Lemon,30342E168C30F528DCC4A3C9,303400000C2B546A30D9B33A,
9E+12,3443699,303400000C2B546A30D9B32A,TShirt,Grey,Medium,LuLu Lemon,30342E168C30F528DCDB83F9,303400000C2B546A30D9B32A,
9E+12,3443699,30340521D055726A30D9B31A,TShirt,Grey,Medium,LuLu Lemon,AD237000000AD237000002FB,30340521D055726A30D9B31A,
